Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
9.27,21.9,3.1,0.999,K3V,20.972221,0
8.06,7.75,0.97,0.37,F0V,17.506508,0
8.55,2.87,1.11,0.902,G8III,15.83941,1
12.31,18.8,4.99,1.336,M0V:,23.68079,0
8.59,10.76,1.1,0.489,F6V,18.749062,0
8.43,4.06,1.16,1.484,K4III,16.47263,1
8.8,3.49,1.48,1.128,K0III,16.514128,1
8.15,6.15,1.0,0.425,F3V,17.094376,0
8.69,4.47,1.15,0.962,G8/K0III/IV,16.941536,1
7.57,12.21,0.95,0.456,F2V,18.003578,0
9.05,9.73,1.21,0.528,G0V,18.990564,0
6.28,13.74,0.98,0.763,G3IV,16.969934,1
9.13,9.19,1.34,0.535,F7V,18.946579,0
9.32,9.66,1.38,0.671,G5V,19.244884,0
8.83,5.64,1.05,0.468,F3/F5V,17.586395,0
9.14,2.85,1.4,1.041,G8III,16.414225,1
6.43,12.71,0.74,0.514,F7.5IV-V,16.950727,1
9.07,5.96,1.45,0.916,G8/K0III/IV,17.946232,1
10.44,3.74,2.72,0.391,F0V,18.304358,0
8.65,23.84,0.78,0.778,G6V,20.53653,0
7.46,10.98,1.18,0.475,F3V,17.66301,0
6.18,7.63,0.6,1.032,G9III-IV,15.592623,1
8.57,1.19,1.2,1.035,K1III,13.947735,1
10.78,24.45,1.97,1.15,K3V,22.721394,0
7.31,1.86,0.87,1.164,K0/K1III,13.657564,1
6.49,16.89,0.8,0.616,G1IV,17.628147,1
8.56,3.95,0.77,0.196,A4V,16.542986,0
7.4,14.66,0.98,0.551,G2IV/V,18.230669,1
8.27,33.89,0.79,0.863,K2V,20.920359,0
8.34,6.18,0.83,0.386,F2IV,17.294943,1
8.27,5.28,1.15,0.994,G8III,16.883171,1
8.08,3.45,0.94,1.156,K2III,15.769095,1
8.55,8.18,0.88,0.401,F2V,18.113766,0
8.97,10.63,1.25,0.671,G3/G5V,19.102665,0
7.42,1.6,0.79,1.524,K4III,13.4406,1
8.41,3.53,1.12,0.022,A0V,16.148872,0
8.4,15.59,1.43,0.566,G2V,19.364231,0
5.71,5.97,0.7,0.911,G8III,14.589871,1
7.64,9.35,0.92,0.5,F5IV/V,17.494059,1
8.68,4.77,1.44,0.944,G8III,17.072592,1
8.12,16.74,1.28,0.619,F8V,19.238777,0
8.67,7.85,1.17,0.513,F5V,18.144348,0
