Vmag,Plx,e_Plx,B-V,Amag,TargetClass
9.1,3.54,1.39,0.482,16.84501631012894,3
9.27,21.9,3.1,0.999,20.97222057420059,5
6.61,2.81,0.63,-0.019,13.8535315995254,1
8.06,7.75,0.97,0.37,17.506508512531553,3
8.55,2.87,1.11,0.902,15.839409483669963,4
12.31,18.8,4.99,1.336,23.680789246318398,6
9.64,17.74,1.3,0.74,20.88476807747854,4
9.05,5.17,1.95,1.102,17.617452715469714,6
8.59,4.81,0.99,1.067,17.00072538186916,4
8.59,10.76,1.1,0.489,18.74906135665185,3
7.34,4.29,0.84,0.081,15.50228646092362,2
8.43,4.06,1.16,1.484,16.47263016788597,5
8.8,3.49,1.48,1.128,16.5141271347959,5
7.25,5.11,0.99,1.2,15.792104500673563,5
8.6,2.45,1.16,1.166,15.545830421822663,5
8.15,6.15,1.0,0.425,17.094375578877084,3
11.03,19.93,2.36,1.567,22.52753649350244,5
6.53,4.12,0.64,0.955,14.604486080165675,4
8.51,10.76,1.06,0.516,18.669061356651852,4
7.55,5.84,0.95,1.438,16.382064235561998,5
8.69,4.47,1.15,0.962,16.941537615659684,4
7.57,12.21,0.95,0.456,18.00357831972441,3
9.05,9.73,1.21,0.528,18.990564201341762,4
6.28,13.74,0.98,0.763,16.969933663617656,4
9.13,9.19,1.34,0.535,18.946577556930556,3
9.32,9.66,1.38,0.671,19.24488563207747,4
8.83,5.64,1.05,0.468,17.586395519916714,3
9.14,2.85,1.4,1.041,16.41422430004255,4
8.26,3.79,0.88,0.142,16.15319604984036,2
7.63,1.84,1.05,1.453,13.954089115047683,5
9.09,3.1,1.29,0.04,16.546808469171363,1
8.1,8.94,1.09,0.466,17.856687593979586,3
6.43,12.71,0.74,0.514,16.950727752770042,3
9.07,5.96,1.45,0.916,17.946231298701182,4
7.68,6.3,0.96,1.15,16.67670274726791,5
10.44,3.74,2.72,0.391,18.3043580110024,3
8.65,23.84,0.78,0.778,20.536531255340996,4
7.46,10.98,1.18,0.475,17.663011700570365,3
8.7,3.42,1.04,0.026,16.370130530280676,2
10.61,-3.4,4.25,0.57,18.267394585211274,1
8.2,6.38,0.91,0.387,17.22410339360581,3
6.18,7.63,0.6,1.032,15.592622689774402,4
7.91,2.41,1.01,1.104,14.820085212874343,5
8.57,1.19,1.2,1.035,13.947734806962654,5
10.78,24.45,1.97,1.15,22.721394317298195,5
7.31,1.86,0.87,1.164,13.657564721089582,5
9.53,1.59,1.28,0.45,15.536985621602257,3
6.49,16.89,0.8,0.616,17.628148247855044,4
8.94,0.41,1.3,0.906,12.003919283598677,5
8.56,3.95,0.77,0.196,16.5429854781323,2
10.57,20.97,1.71,1.03,22.17799215232672,6
7.4,14.66,0.98,0.551,18.230669851525548,4
8.12,3.47,1.27,1.329,15.821647373954368,5
8.27,33.89,0.79,0.863,20.920357844186892,5
7.05,26.06,0.67,0.52,19.12987205688283,4
9.09,-0.06,1.38,0.091,7.980756251918218,1
8.34,6.18,0.83,0.386,17.29494237544408,3
8.86,5.6,1.11,1.081,17.600940135031003,5
8.27,5.28,1.15,0.994,16.88316961266906,4
6.36,4.81,0.71,-0.047,14.770725381869159,1
8.08,3.45,0.94,1.156,15.76909547536637,5
8.55,8.18,0.88,0.401,18.113766518356616,3
7.83,7.48,0.93,0.495,17.199507989322306,3
8.79,31.8,1.17,0.94,21.302135599922163,5
8.33,6.35,1.12,0.135,17.34386862645988,2
8.26,9.13,1.84,0.846,18.062353887671495,4
8.97,10.63,1.25,0.671,19.102666322616486,4
6.9,3.97,0.69,1.446,14.893952533815575,5
9.93,24.22,1.36,1.068,21.850870694035166,5
7.42,1.6,0.79,1.524,13.440599913279623,5
9.03,2.29,1.19,1.67,15.829177411699439,6
8.41,3.53,1.12,0.022,16.148873526939113,2
8.06,1.17,0.96,1.203,13.40092930873081,5
8.69,4.57,0.99,0.529,16.989581000349254,3
8.4,15.59,1.43,0.566,19.364230575944212,4
8.57,23.43,1.28,0.642,20.418861442984813,4
9.5,1.82,1.37,1.107,15.800356939925374,4
8.85,2.28,1.3,1.726,15.639674235002268,6
9.61,18.9,1.33,0.852,20.99230902086622,5
10.62,3.9,2.06,0.359,18.575323035132495,2
8.05,3.47,0.78,0.018,15.75164737395437,1
7.8,4.52,1.08,0.43,16.07569217405691,3
5.71,5.97,0.7,0.911,14.589871655646846,4
7.87,2.6,0.96,1.566,14.94486673985409,5
7.64,9.35,0.92,0.5,17.49405805436259,3
7.66,4.21,1.23,1.3,15.78141047917834,5
8.68,4.77,1.44,0.944,17.072591895200567,4
8.12,16.74,1.28,0.619,19.238777268286206,3
10.1,10.48,1.48,0.644,20.201806413238536,4
8.67,7.85,1.17,0.513,18.144348283726263,3
10.46,19.83,5.16,1.36,21.94661357102651,6
9.87,6.49,1.44,0.551,18.931223484001848,3
9.48,5.52,1.74,0.53,18.189695388645994,3
7.04,1.27,0.7,2.835,12.559018604779784,7
8.44,4.49,1.08,0.898,16.701231705016617,4
9.88,7.35,1.74,0.509,19.211436695420975,3
7.05,3.0,0.82,1.55,14.435606273598312,6
8.29,9.15,0.76,0.538,18.097105470332238,3
9.34,8.16,1.21,0.543,18.898450793769307,3
7.73,4.44,0.75,0.455,15.9669148505731,3
6.22,4.5,0.73,0.97,14.486062568876719,4
5.53,5.84,0.61,1.615,14.362064235561999,6
8.53,0.3,0.86,1.315,10.91560627359831,5
7.23,5.33,0.94,0.388,15.863636045132862,3
8.61,20.42,1.91,0.787,20.16027868875446,4
11.28,27.11,2.33,1.308,23.445647587902428,6
10.76,31.35,4.17,1.384,23.241187725833676,6
8.93,0.27,1.09,0.021,11.086818820794937,2
7.95,9.93,1.95,0.654,17.934746242476905,4
7.46,4.73,0.67,0.16,15.834305703689058,2
8.6,8.29,0.97,0.435,18.192772652751366,3
8.55,0.36,0.87,1.093,11.331512503836437,4
9.2,12.08,1.33,0.606,19.610334671425562,4
6.82,7.49,0.83,1.071,16.192409088497335,5
8.29,2.83,1.09,1.183,15.54893217762145,5
6.83,3.66,0.83,1.197,14.647405426972053,5
4.78,14.77,0.47,1.254,15.62690247655975,5
7.21,5.07,0.7,1.169,15.73503979666668,5
5.58,0.86,0.56,0.407,10.252492256217838,3
8.7,5.08,1.06,0.366,17.229318561419596,3
8.06,2.94,0.95,0.969,15.401736652060787,4
6.5,15.2,0.63,0.182,17.409217939723863,2
9.32,6.6,1.3,0.559,18.417719677709343,3
9.14,2.93,1.38,1.08,16.47433810177055,5
8.13,8.11,0.83,0.2,17.67510427105578,2
10.62,1.89,1.91,0.358,17.00230902086622,3
6.62,3.51,0.79,0.545,14.346535582329121,3
9.96,1.3,1.71,0.264,15.529716761534186,2
8.64,20.1,1.22,0.62,20.155980287102444,4
6.6,5.84,0.78,1.153,15.432064235561997,5
6.25,2.45,0.69,-0.042,13.195830421822663,1
7.83,6.34,1.89,1.074,16.840446289408664,5
10.03,1.62,1.45,1.289,16.077575072713152,1
9.04,8.98,0.93,0.546,18.80638168333652,3
8.47,5.61,1.1,1.35,17.214814306280807,5
7.33,16.04,0.69,0.73,18.356021819740725,5
8.66,3.57,0.75,1.364,16.423341080560967,5
10.35,20.05,1.64,1.033,21.860571884781002,5
5.13,7.98,0.71,-0.128,14.640014456753647,1
8.96,4.39,1.29,0.306,17.17232260121061,2
8.49,-0.13,1.19,1.569,9.059716761534185,5
11.26,22.92,2.17,0.932,23.06107306647676,5
8.15,4.22,0.96,0.584,16.27656225480837,3
7.04,7.5,0.84,1.06,16.4153063169585,5
10.02,5.1,1.42,0.456,18.55785088048968,3
8.9,5.54,1.23,0.459,17.61754882364215,3
7.78,7.56,1.37,0.411,17.172608977506034,3
4.37,7.86,0.94,1.631,13.84711273019704,6
9.93,2.28,1.39,0.283,16.71967423500227,2
8.6,3.09,0.84,0.1,16.049792397124172,1
8.51,6.87,1.28,0.903,17.69478368529775,4
7.09,7.03,0.89,0.999,16.32477662509912,5
6.93,16.92,0.81,0.292,18.072001793515025,2
8.68,2.07,0.8,-0.052,15.25985172728459,1
8.98,2.38,1.09,1.5,15.86288478528256,5
9.84,2.71,1.33,0.696,17.00484645437203,4
8.98,2.92,1.26,0.107,16.30691425724209,2
7.98,4.41,0.82,0.97,16.202192947339192,4
10.16,-0.59,1.74,0.45,14.014260058210722,2
8.86,9.46,1.18,0.66,18.739455682008963,4
8.58,3.5,0.9,0.06,16.300340221751377,1
9.56,1.95,1.34,1.113,16.01017305681259,7
9.24,63.03,1.98,1.39,23.237736535628073,6
9.63,5.96,2.02,0.509,18.50623129870118,3
5.8,80.63,3.03,0.69,20.332483298996763,4
9.05,1.27,1.11,0.976,14.569018604779785,0
8.45,1.31,1.03,0.248,14.03635647827882,2
8.86,3.89,1.83,1.035,16.80974800662854,4
7.84,3.98,0.87,0.923,15.839415360368438,4
8.86,3.82,1.07,0.53,16.77031681455854,5
8.93,5.47,1.25,0.172,17.619936631667155,2
7.97,9.02,2.5,0.556,17.746032687709707,3
6.9,14.91,0.9,0.534,17.767388217264973,4
8.47,2.8,1.12,1.171,15.705790156711096,5
6.77,2.51,0.64,1.832,13.76836860740519,6
8.55,3.32,1.16,1.004,16.15569041852018,5
5.04,6.4,0.87,-0.15,14.070899869919437,1
8.48,29.75,1.21,0.888,20.84743485032284,5
8.53,11.74,1.8,0.53,18.878340484557977,3
6.33,7.55,0.82,0.182,15.719734758145941,2
8.99,6.69,1.38,0.5,18.117130588839117,4
8.64,10.49,1.23,0.488,18.74387744096779,3
9.55,2.49,1.41,0.237,16.53099673547868,2
8.74,10.47,1.17,0.57,18.83973340839421,4
12.43,22.98,4.38,1.49,24.236750121761332,6
8.16,3.31,1.11,1.032,15.759139968878594,4
9.46,4.77,1.47,0.944,17.852591895200568,4
5.7,26.53,0.77,0.315,17.818686249911647,3
7.62,8.08,1.0,0.517,17.15705680387293,3
8.95,0.98,1.18,1.677,13.906130378462475,5
8.97,1.62,1.16,0.952,15.017575072713155,5
8.94,5.12,1.11,0.276,17.486349804879154,2
7.24,4.07,0.88,0.074,15.2879720461261,2
10.32,3.17,1.67,0.323,17.825296311088756,3
8.24,10.06,0.99,0.474,18.25298990359954,3
8.62,2.6,1.1,0.303,15.694866739854088,3
9.18,2.16,1.59,0.981,15.852268755754654,5
8.53,2.53,1.0,1.274,15.54560260587909,5
8.54,8.84,1.25,0.384,18.272261325065365,3
8.56,9.32,1.02,0.436,18.407079561769905,4
9.41,2.46,1.07,0.967,16.364675535516895,4
5.87,1.57,1.67,1.073,11.849498262046168,4
7.2,-0.69,9.62,0.085,11.394245453686278,2
9.05,7.65,1.93,0.47,18.46830717576809,4
9.52,3.88,1.36,0.832,17.464158627971038,4
7.7,7.8,0.95,1.003,17.160473013452403,4
8.17,3.36,0.99,0.29,15.80169638694922,2
7.29,2.73,0.63,0.118,14.470813235203781,2
9.26,3.49,0.94,1.8,16.9741271347959,6
7.94,3.21,0.89,0.016,15.472525162024361,2
8.42,4.14,1.05,1.005,16.505001705604496,4
8.56,10.78,1.28,0.602,18.7230938042536,3
