Vmag,Plx,e_Plx,B-V,SpType,Amag
9.1,3.54,1.39,0.482,F5,16.84501631012894
9.27,21.9,3.1,0.999,K3V,20.97222057420059
6.61,2.81,0.63,-0.019,B9,13.8535315995254
8.06,7.75,0.97,0.37,F0V,17.506508512531553
8.55,2.87,1.11,0.902,G8III,15.839409483669963
12.31,18.8,4.99,1.336,M0V:,23.680789246318398
9.64,17.74,1.3,0.74,G0,20.88476807747854
9.05,5.17,1.95,1.102,M6e-M8.5e Tc,17.617452715469714
8.59,4.81,0.99,1.067,G5,17.00072538186916
8.59,10.76,1.1,0.489,F6V,18.74906135665185
7.34,4.29,0.84,0.081,A2,15.50228646092362
8.43,4.06,1.16,1.484,K4III,16.47263016788597
8.8,3.49,1.48,1.128,K0III,16.5141271347959
7.25,5.11,0.99,1.2,K0,15.792104500673563
8.6,2.45,1.16,1.166,K2,15.545830421822663
8.15,6.15,1.0,0.425,F3V,17.094375578877084
11.03,19.93,2.36,1.567,K5,22.52753649350244
6.53,4.12,0.64,0.955,G5,14.604486080165675
8.51,10.76,1.06,0.516,G0,18.669061356651852
7.55,5.84,0.95,1.438,K2,16.382064235561998
8.69,4.47,1.15,0.962,G8/K0III/IV,16.941537615659684
7.57,12.21,0.95,0.456,F2V,18.00357831972441
9.05,9.73,1.21,0.528,G0V,18.990564201341762
6.28,13.74,0.98,0.763,G3IV,16.969933663617656
9.13,9.19,1.34,0.535,F7V,18.946577556930556
9.32,9.66,1.38,0.671,G5V,19.24488563207747
8.83,5.64,1.05,0.468,F3/F5V,17.586395519916714
9.14,2.85,1.4,1.041,G8III,16.41422430004255
8.26,3.79,0.88,0.142,A0,16.15319604984036
7.63,1.84,1.05,1.453,K2,13.954089115047683
9.09,3.1,1.29,0.04,B8,16.546808469171363
8.1,8.94,1.09,0.466,F2,17.856687593979586
6.43,12.71,0.74,0.514,F7.5IV-V,16.950727752770042
9.07,5.96,1.45,0.916,G8/K0III/IV,17.946231298701182
7.68,6.3,0.96,1.15,K0,16.67670274726791
10.44,3.74,2.72,0.391,F0V,18.3043580110024
8.65,23.84,0.78,0.778,G6V,20.536531255340996
7.46,10.98,1.18,0.475,F3V,17.663011700570365
8.7,3.42,1.04,0.026,A0,16.370130530280676
10.61,-3.4,4.25,0.57,B...,18.267394585211274
8.2,6.38,0.91,0.387,F2,17.22410339360581
6.18,7.63,0.6,1.032,G9III-IV,15.592622689774402
7.91,2.41,1.01,1.104,K2,14.820085212874343
8.57,1.19,1.2,1.035,K1III,13.947734806962654
10.78,24.45,1.97,1.15,K3V,22.721394317298195
7.31,1.86,0.87,1.164,K0/K1III,13.657564721089582
9.53,1.59,1.28,0.45,F5,15.536985621602257
6.49,16.89,0.8,0.616,G1IV,17.628148247855044
8.94,0.41,1.3,0.906,K0,12.003919283598677
8.56,3.95,0.77,0.196,A4V,16.5429854781323
10.57,20.97,1.71,1.03,M:,22.17799215232672
7.4,14.66,0.98,0.551,G2IV/V,18.230669851525548
8.12,3.47,1.27,1.329,K0,15.821647373954368
8.27,33.89,0.79,0.863,K2V,20.920357844186892
7.05,26.06,0.67,0.52,G0,19.12987205688283
9.09,-0.06,1.38,0.091,B5,7.980756251918218
8.34,6.18,0.83,0.386,F2IV,17.29494237544408
8.86,5.6,1.11,1.081,K5,17.600940135031003
8.27,5.28,1.15,0.994,G8III,16.88316961266906
6.36,4.81,0.71,-0.047,B9p SiEu,14.770725381869159
8.08,3.45,0.94,1.156,K2III,15.76909547536637
8.55,8.18,0.88,0.401,F2V,18.113766518356616
7.83,7.48,0.93,0.495,F5,17.199507989322306
8.79,31.8,1.17,0.94,K0,21.302135599922163
8.33,6.35,1.12,0.135,A0,17.34386862645988
8.26,9.13,1.84,0.846,G5,18.062353887671495
8.97,10.63,1.25,0.671,G3/G5V,19.102666322616486
6.9,3.97,0.69,1.446,K2,14.893952533815575
9.93,24.22,1.36,1.068,K5,21.850870694035166
7.42,1.6,0.79,1.524,K4III,13.440599913279623
9.03,2.29,1.19,1.67,M0,15.829177411699439
8.41,3.53,1.12,0.022,A0V,16.148873526939113
8.06,1.17,0.96,1.203,K0,13.40092930873081
8.69,4.57,0.99,0.529,F5,16.989581000349254
8.4,15.59,1.43,0.566,G2V,19.364230575944212
8.57,23.43,1.28,0.642,G5,20.418861442984813
9.5,1.82,1.37,1.107,G5,15.800356939925374
8.85,2.28,1.3,1.726,M0,15.639674235002268
9.61,18.9,1.33,0.852,K0,20.99230902086622
10.62,3.9,2.06,0.359,A2,18.575323035132495
8.05,3.47,0.78,0.018,B9,15.75164737395437
7.8,4.52,1.08,0.43,F5,16.07569217405691
5.71,5.97,0.7,0.911,G8III,14.589871655646846
7.87,2.6,0.96,1.566,K2,14.94486673985409
7.64,9.35,0.92,0.5,F5IV/V,17.49405805436259
7.66,4.21,1.23,1.3,K0,15.78141047917834
8.68,4.77,1.44,0.944,G8III,17.072591895200567
8.12,16.74,1.28,0.619,F8V,19.238777268286206
10.1,10.48,1.48,0.644,G2,20.201806413238536
8.67,7.85,1.17,0.513,F5V,18.144348283726263
10.46,19.83,5.16,1.36,M0,21.94661357102651
9.87,6.49,1.44,0.551,F6/F7V,18.931223484001848
9.48,5.52,1.74,0.53,F5V,18.189695388645994
7.04,1.27,0.7,2.835,C5p,12.559018604779784
8.44,4.49,1.08,0.898,G0,16.701231705016617
9.88,7.35,1.74,0.509,F5IV/V,19.211436695420975
7.05,3.0,0.82,1.55,M1III,14.435606273598312
8.29,9.15,0.76,0.538,F6V,18.097105470332238
9.34,8.16,1.21,0.543,F7V,18.898450793769307
7.73,4.44,0.75,0.455,F0,15.9669148505731
6.22,4.5,0.73,0.97,G7II-III,14.486062568876719
5.53,5.84,0.61,1.615,M2III,14.362064235561999
8.53,0.3,0.86,1.315,K3II/III,10.91560627359831
7.23,5.33,0.94,0.388,F0,15.863636045132862
8.61,20.42,1.91,0.787,G5,20.16027868875446
11.28,27.11,2.33,1.308,M2,23.445647587902428
10.76,31.35,4.17,1.384,M1.5V:,23.241187725833676
8.93,0.27,1.09,0.021,A0,11.086818820794937
7.95,9.93,1.95,0.654,G0IV,17.934746242476905
7.46,4.73,0.67,0.16,A2IV,15.834305703689058
8.6,8.29,0.97,0.435,F3V,18.192772652751366
8.55,0.36,0.87,1.093,G8III,11.331512503836437
9.2,12.08,1.33,0.606,G0,19.610334671425562
6.82,7.49,0.83,1.071,K0,16.192409088497335
8.29,2.83,1.09,1.183,K1IIICNIV,15.54893217762145
6.83,3.66,0.83,1.197,K2III,14.647405426972053
4.78,14.77,0.47,1.254,K2III,15.62690247655975
7.21,5.07,0.7,1.169,K0,15.73503979666668
5.58,0.86,0.56,0.407,F0III,10.252492256217838
8.7,5.08,1.06,0.366,F2V,17.229318561419596
8.06,2.94,0.95,0.969,G5,15.401736652060787
6.5,15.2,0.63,0.182,Am...,17.409217939723863
9.32,6.6,1.3,0.559,F8,18.417719677709343
9.14,2.93,1.38,1.08,K0III,16.47433810177055
8.13,8.11,0.83,0.2,A4V,17.67510427105578
10.62,1.89,1.91,0.358,F0,17.00230902086622
6.62,3.51,0.79,0.545,F5IV,14.346535582329121
9.96,1.3,1.71,0.264,A0,15.529716761534186
8.64,20.1,1.22,0.62,G5,20.155980287102444
6.6,5.84,0.78,1.153,K2III-IV,15.432064235561997
6.25,2.45,0.69,-0.042,B9IIIp Mn,13.195830421822663
7.83,6.34,1.89,1.074,K0/K1IV,16.840446289408664
10.03,1.62,1.45,1.289,B0,16.077575072713152
9.04,8.98,0.93,0.546,F7V,18.80638168333652
8.47,5.61,1.1,1.35,K5,17.214814306280807
