Vmag,Plx,e_Plx,B-V,SpType
9.1,3.54,1.39,0.482,F5
9.27,21.9,3.1,0.999,K3V
6.61,2.81,0.63,-0.019,B9
8.06,7.75,0.97,0.37,F0V
8.55,2.87,1.11,0.902,G8III
12.31,18.8,4.99,1.336,M0V:
9.64,17.74,1.3,0.74,G0
9.05,5.17,1.95,1.102,M6e-M8.5e Tc
8.59,4.81,0.99,1.067,G5
8.59,10.76,1.1,0.489,F6V
7.34,4.29,0.84,0.081,A2
8.43,4.06,1.16,1.484,K4III
8.8,3.49,1.48,1.128,K0III
7.25,5.11,0.99,1.2,K0
8.6,2.45,1.16,1.166,K2
8.15,6.15,1.0,0.425,F3V
11.03,19.93,2.36,1.567,K5
6.53,4.12,0.64,0.955,G5
8.51,10.76,1.06,0.516,G0
7.55,5.84,0.95,1.438,K2
8.69,4.47,1.15,0.962,G8/K0III/IV
7.57,12.21,0.95,0.456,F2V
9.05,9.73,1.21,0.528,G0V
6.28,13.74,0.98,0.763,G3IV
9.13,9.19,1.34,0.535,F7V
9.32,9.66,1.38,0.671,G5V
8.83,5.64,1.05,0.468,F3/F5V
9.14,2.85,1.4,1.041,G8III
8.26,3.79,0.88,0.142,A0
7.63,1.84,1.05,1.453,K2
9.09,3.1,1.29,0.04,B8
8.1,8.94,1.09,0.466,F2
6.43,12.71,0.74,0.514,F7.5IV-V
9.07,5.96,1.45,0.916,G8/K0III/IV
7.68,6.3,0.96,1.15,K0
10.44,3.74,2.72,0.391,F0V
8.65,23.84,0.78,0.778,G6V
7.46,10.98,1.18,0.475,F3V
8.7,3.42,1.04,0.026,A0
10.61,-3.4,4.25,0.57,B...
8.2,6.38,0.91,0.387,F2
6.18,7.63,0.6,1.032,G9III-IV
7.91,2.41,1.01,1.104,K2
8.57,1.19,1.2,1.035,K1III
10.78,24.45,1.97,1.15,K3V
7.31,1.86,0.87,1.164,K0/K1III
9.53,1.59,1.28,0.45,F5
6.49,16.89,0.8,0.616,G1IV
8.94,0.41,1.3,0.906,K0
8.56,3.95,0.77,0.196,A4V
10.57,20.97,1.71,1.03,M:
7.4,14.66,0.98,0.551,G2IV/V
8.12,3.47,1.27,1.329,K0
8.27,33.89,0.79,0.863,K2V
7.05,26.06,0.67,0.52,G0
9.09,-0.06,1.38,0.091,B5
8.34,6.18,0.83,0.386,F2IV
8.86,5.6,1.11,1.081,K5
8.27,5.28,1.15,0.994,G8III
6.36,4.81,0.71,-0.047,B9p SiEu
8.08,3.45,0.94,1.156,K2III
8.55,8.18,0.88,0.401,F2V
7.83,7.48,0.93,0.495,F5
8.79,31.8,1.17,0.94,K0
8.33,6.35,1.12,0.135,A0
8.26,9.13,1.84,0.846,G5
8.97,10.63,1.25,0.671,G3/G5V
6.9,3.97,0.69,1.446,K2
9.93,24.22,1.36,1.068,K5
7.42,1.6,0.79,1.524,K4III
9.03,2.29,1.19,1.67,M0
8.41,3.53,1.12,0.022,A0V
8.06,1.17,0.96,1.203,K0
8.69,4.57,0.99,0.529,F5
8.4,15.59,1.43,0.566,G2V
8.57,23.43,1.28,0.642,G5
9.5,1.82,1.37,1.107,G5
8.85,2.28,1.3,1.726,M0
9.61,18.9,1.33,0.852,K0
